GEOID10,NAME10,PLNG_REGIO,created_us,created_da,last_edite,last_edit2,Percent_BA,Median_hou,Workers__1,Car__truck,Worked_at_,Percent_Wo,GlobalID,Pop_Change,Car_Truck_,Pct_Car_Tr,Pct_Car_T2,Public_Tra,Pct_Public,Mean_Trave,Shape_Leng,Shape_Area
13045910103,9101.03,ARC 20,,,SDE,2015/05/19 14:52:43,20.7,57188,2438,357,59,2.4,,100.3,2004,82.2,14.6,0,0,32.10172,118277.754224171,607399676.932592
13045910104,9101.04,ARC 20,,,SDE,2015/05/19 14:52:43,13.2,54987,3999,629,47,1.2,,201.1,3200,80,15.7,0,0,31.99519,124766.277906116,483848846.048713
13045910502,9105.02,ARC 20,,,SDE,2015/05/19 14:52:43,7.9,18975,829,209,24,2.9,,-368.8,515,62.1,25.2,0,0,18.87578,30985.3346540114,46851520.2721302
13045910800,9108,ARC 20,,,SDE,2015/05/19 14:52:43,8.9,50194,1571,232,82,5.2,,1.1,1220,77.7,14.8,0,0,33.83479,237362.002636664,1854391191.89244
13045910101,9101.01,ARC 20,,,SDE,2015/05/19 14:52:43,16.4,46840,2395,325,108,4.5,,397.3,1900,79.3,13.6,11,0.5,36.22213,67720.6040720509,179464142.883073
13045910200,9102,ARC 20,,,SDE,2015/05/19 14:52:43,10.7,46942,4814,415,91,1.9,,93.9,4161,86.4,8.6,59,1.2,33.41732,200510.053132609,1294612059.9915
13045910900,9109,ARC 20,,,SDE,2015/05/19 14:52:43,22.7,56964,1573,158,107,6.8,,7.8,1293,82.2,10,0,0,26.61664,191210.915685077,1421324970.22449
13045910300,9103,ARC 20,,,SDE,2015/05/19 14:52:43,15.2,42287,2544,382,66,2.6,,17.1,2070,81.4,15,0,0,28.47458,188483.019679187,1592537985.16644
13045911100,9111,ARC 20,,,SDE,2015/05/19 14:52:43,29.8,42438,3664,372,167,4.6,,24.2,3098,84.6,10.2,0,0,20.67629,127359.16922123,561777380.447206
13045911000,9110,ARC 20,,,SDE,2015/05/19 14:52:43,29.3,45026,2861,364,126,4.4,,27.2,2269,79.3,12.7,0,0,21.78062,103362.274055408,552049987.572216
13045910701,9107.01,ARC 20,,,SDE,2015/05/19 14:52:43,20.6,44002,3451,172,127,3.7,,116.1,3089,89.5,5,0,0,24.41637,150756.970468562,707225757.490576
13045910703,9107.03,ARC 20,,,SDE,2015/05/19 14:52:43,17.7,43517,3187,291,94,2.9,,68.9,2802,87.9,9.1,0,0,23.93631,107808.869512959,385587810.753281
13045910600,9106,ARC 20,,,SDE,2015/05/19 14:52:43,19.1,48420,2306,284,0,0,,70.5,1954,84.7,12.3,0,0,29.10451,107942.661975138,350294860.374676
