GEOID10,NAME10,PLNG_REGIO,created_us,created_da,last_edite,last_edit2,Percent_BA,Median_hou,Population,Less_than_,Percent_Le,BA_or_High,GlobalID,Pop_Change,Shape_Leng,Shape_Area
13045910103,9101.03,ARC 20,,,SDE,2015/05/19 15:53:46,20.7,57188,3303,609,18.4,685,,100.3,118277.754224171,607399676.932592
13045910104,9101.04,ARC 20,,,SDE,2015/05/19 15:53:46,13.2,54987,5703,798,14,752,,201.1,124766.277906116,483848846.048713
13045910502,9105.02,ARC 20,,,SDE,2015/05/19 15:53:46,7.9,18975,1305,555,42.5,103,,-368.8,30985.3346540114,46851520.2721302
13045910800,9108,ARC 20,,,SDE,2015/05/19 15:53:46,8.9,50194,2668,663,24.9,237,,1.1,237362.002636664,1854391191.89244
13045910101,9101.01,ARC 20,,,SDE,2015/05/19 15:53:46,16.4,46840,3881,612,15.8,635,,397.3,67720.6040720509,179464142.883073
13045910200,9102,ARC 20,,,SDE,2015/05/19 15:53:46,10.7,46942,7716,1968,25.5,823,,93.9,200510.053132609,1294612059.9915
13045910900,9109,ARC 20,,,SDE,2015/05/19 15:53:46,22.7,56964,2425,477,19.7,550,,7.8,191210.915685077,1421324970.22449
13045910300,9103,ARC 20,,,SDE,2015/05/19 15:53:46,15.2,42287,4150,869,20.9,629,,17.1,188483.019679187,1592537985.16644
13045911100,9111,ARC 20,,,SDE,2015/05/19 15:53:46,29.8,42438,4596,698,15.2,1371,,24.2,127359.16922123,561777380.447206
13045911000,9110,ARC 20,,,SDE,2015/05/19 15:53:46,29.3,45026,3867,849,22,1134,,27.2,103362.274055408,552049987.572216
13045910701,9107.01,ARC 20,,,SDE,2015/05/19 15:53:46,20.6,44002,5965,1512,25.3,1226,,116.1,150756.970468562,707225757.490576
13045910703,9107.03,ARC 20,,,SDE,2015/05/19 15:53:46,17.7,43517,5026,914,18.2,888,,68.9,107808.869512959,385587810.753281
13045910600,9106,ARC 20,,,SDE,2015/05/19 15:53:46,19.1,48420,3796,525,13.8,725,,70.5,107942.661975138,350294860.374676
13045910501,9105.01,ARC 20,,,SDE,2015/05/19 15:53:46,16.5,30625,2987,803,26.9,492,,153.2,101355.083791631,321595170.318669
13045910702,9107.02,ARC 20,,,SDE,2015/05/19 15:53:46,27.6,62459,4786,529,11.1,1319,,104.1,117348.28427535,660896317.315651
13045911200,9112,ARC 20,,,SDE,2015/05/19 15:53:46,15.5,38525,4007,1021,25.5,622,,2.8,202142.90764254,1823469968.92345
13045910400,9104,ARC 20,,,SDE,2015/05/19 15:53:46,13.1,37646,2161,443,20.5,284,,-8.5,196671.673544441,1202468139.31595
13113140207,1402.07,ARC 10,,,SDE,2015/05/19 15:53:46,66.3,105288,3881,77,2,2575,,49,41494.197815993,87756398.850407
13113140208,1402.08,ARC 10,,,SDE,2015/05/19 15:53:46,48,74214,4709,384,8.2,2262,,435.5,76889.4961770768,187201161.324454
13113140303,1403.03,ARC 10,,,SDE,2015/05/19 15:53:46,49.9,78010,3057,144,4.7,1525,,-88.6,74036.546092173,158158984.969019
13113140304,1403.04,ARC 10,,,SDE,2015/05/19 15:53:46,39.4,70740,3916,153,3.9,1542,,-109.8,54031.7991976389,150049861.873083
13113140307,1403.07,ARC 10,,,SDE,2015/05/19 15:53:46,63.6,145086,2953,50,1.7,1878,,123.4,82519.0876519657,187003550.423712
13113140408,1404.08,ARC 10,,,SDE,2015/05/19 15:53:46,26.4,72200,2106,58,2.8,557,,-26.1,68558.8361291726,170909080.973232
13113140407,1404.07,ARC 10,,,SDE,2015/05/19 15:53:46,33.9,63433,5207,239,4.6,1763,,195.1,73602.3079039766,240410203.459339
13113140405,1404.05,ARC 10,,,SDE,2015/05/19 15:53:46,35.7,85278,2361,98,4.2,844,,14.3,86159.2096180504,219994430.327601
13113140404,1404.04,ARC 10,,,SDE,2015/05/19 15:53:46,47.4,77888,3761,273,7.3,1784,,179.3,57455.0140508061,153291601.515406
13113140206,1402.06,ARC 10,,,SDE,2015/05/19 15:53:46,56.4,105966,2788,105,3.8,1573,,161.4,69712.6691047536,154774161.29234
13113140203,1402.03,ARC 10,,,SDE,2015/05/19 15:53:46,36.8,83935,3766,305,8.1,1387,,216.4,91254.2436918478,290001802.812385
13113140204,1402.04,ARC 10,,,SDE,2015/05/19 15:53:46,42,76681,3559,385,10.8,1495,,42.5,111233.227689548,451689259.554735
13113140305,1403.05,ARC 10,,,SDE,2015/05/19 15:53:46,47.6,97955,2934,368,12.5,1398,,247.1,75691.0599903283,281645192.402095
13113140403,1404.03,ARC 10,,,SDE,2015/05/19 15:53:46,39.6,78324,3852,189,4.9,1526,,122.7,60438.1572472479,171544532.960813
13113140406,1404.06,ARC 10,,,SDE,2015/05/19 15:53:46,29.5,57438,2614,215,8.2,771,,37.3,64901.9223152953,145879392.943182
13113140306,1403.06,ARC 10,,,SDE,2015/05/19 15:53:46,51.4,89699,4908,234,4.8,2522,,56.3,53563.4374397149,143487501.381617
13113140102,1401.02,ARC 10,,,SDE,2015/05/19 15:53:46,31.7,72549,4000,222,5.6,1270,,-3.8,109851.693263908,336656631.741546
13113140101,1401.01,ARC 10,,,SDE,2015/05/19 15:53:46,32,64732,5030,364,7.2,1608,,49.1,102874.559858092,458546834.726017
13113140502,1405.02,ARC 10,,,SDE,2015/05/19 15:53:46,32.1,73591,2240,54,2.4,720,,12.4,139816.000044208,777975618.846944
13113140501,1405.01,ARC 10,,,SDE,2015/05/19 15:53:46,38,84885,3807,186,4.9,1447,,42.3,159570.132794612,788791147.57867
13247060404,604.04,ARC 10,,,SDE,2015/05/19 15:53:46,22.6,54146,3838,452,11.8,866,,-45.3,64682.2581457978,167466513.214076
13247060304,603.04,ARC 10,,,SDE,2015/05/19 15:53:46,25,42554,3485,451,12.9,872,,120.7,90066.9836752818,224605713.567397
13247060101,601.01,ARC 10,,,SDE,2015/05/19 15:53:46,15.7,51356,2203,349,15.8,346,,9.5,77808.1997356118,307143932.879104
13247060202,602.02,ARC 10,,,SDE,2015/05/19 15:53:46,27.4,54345,6208,664,10.7,1702,,174.6,74189.430883602,309016178.704096
13247060201,602.01,ARC 10,,,SDE,2015/05/19 15:53:46,12.1,35453,2736,1023,37.4,330,,31.8,67165.7372847306,143412137.717664
13247060306,603.06,ARC 10,,,SDE,2015/05/19 15:53:46,28.9,65357,1667,184,11,481,,231.9,64207.6471840766,157623715.701727
13247060407,604.07,ARC 10,,,SDE,2015/05/19 15:53:46,26.5,51714,2190,174,7.9,581,,-84.8,51188.2919232618,64935948.9805994
13247060403,604.03,ARC 10,,,SDE,2015/05/19 15:53:46,38.2,69286,2457,228,9.3,939,,63.8,131796.667386412,416935105.883279
