GEOID10,NAME10,PLNG_REGIO,created_us,created_da,last_edite,last_edit2,Percent_BA,Median_hou,Change_in_,GlobalID,Pop_Chng_p,Chng_AgFor,Change_Min,Chng_Util_,Chng_Const,Chng_Manuf,Chng_Whlsl,Chng_Retai,Chng_Trans,Chng_Info_,Chng_Finan,Chng_RealE,Chng_ProSc,Chng_Mgmt_,Chng_Ad_Ws,Chng_Educ_,Chng_Healt,Chng_ArtsE,Chng_AccFo,Chg_OthrNo,Chng_PubAd,Chg_Pct_Ag,Chng_Pct_M,Chg_Pct_Ut,Chng_Pct_C,Chng_Pct_2,Chng_Pct_W,Chg_Pct_Re,Chg_Pct_Tr,Chng_Pct_I,Chng_Pct_F,ChgPct_RlE,ChgPct_Pro,ChgPct_Mgm,ChgPct_AdW,ChgPct_Edu,ChgPct_Hlt,ChgPct_Art,ChgPct_AcF,ChPct_OthN,ChgPct_Pub,Shape_Leng,Shape_Area
13045910103,9101.03,ARC 20,,,SDE,2015/05/21 15:26:06,20.7,57188,1870,,100.3,0,18,0,230,0,5,398,4,0,254,66,182,6,118,149,46,0,306,82,6,0,-0.6,0,3.6,-0.1,0,-3.9,-0.1,0,-1.6,0.1,3,-0.3,0.4,-1.1,0.9,0,-1.4,0.8,0.2,118277.754224171,607399676.932592
13045910104,9101.04,ARC 20,,,SDE,2015/05/21 15:26:06,13.2,54987,1164,,201.1,0,0,0,251,6,179,23,51,0,84,168,60,1,132,63,53,0,69,18,6,0,0,0,4.6,-9.6,-2.4,-0.5,0.5,0,1.2,2.5,1.1,0,2,-0.1,1,0,-0.2,0.2,-0.4,124766.277906116,483848846.048713
13045910502,9105.02,ARC 20,,,SDE,2015/05/21 15:26:06,7.9,18975,661,,-368.8,0,0,0,214,-3,35,21,28,0,34,10,53,0,38,0,173,0,27,31,0,0,0,0,7.3,-17.6,-1,-0.4,-0.2,-0.1,0.7,0.2,1.9,0,1,0,7.3,0,0.1,0.8,0,30985.3346540114,46851520.2721302
13045910800,9108,ARC 20,,,SDE,2015/05/21 15:26:06,8.9,50194,560,,1.1,-4,0,0,95,9,9,33,10,0,4,7,22,0,110,143,3,4,25,0,90,-6.9,0,0,2.4,-1.4,-1.4,-0.2,-0.1,0,-0.2,0.7,1.4,0,1.4,-2.6,0.2,0.4,1.3,0,5.2,237362.002636664,1854391191.89244
13045910101,9101.01,ARC 20,,,SDE,2015/05/21 15:26:06,16.4,46840,2436,,397.3,-1,0,-1,160,42,18,3,11,0,31,4,33,0,130,173,1384,93,76,129,151,-0.2,0,-0.1,1.8,-2.8,-0.2,-1.9,-3.7,-1,-1.3,-2.2,-0.1,-0.9,-0.1,0.8,13.9,0.5,-1,0.6,-2,67720.6040720509,179464142.883073
13045910200,9102,ARC 20,,,SDE,2015/05/21 15:26:06,10.7,46942,3023,,93.9,0,0,0,476,293,5,252,87,-7,196,46,291,6,258,268,93,7,66,481,205,-0.1,0,0,5.4,-7.2,-0.3,-0.8,0,-0.5,-0.9,0.3,2.9,0,0.2,-3.5,1,0.1,-1.1,2.4,2,200510.053132609,1294612059.9915
13045910900,9109,ARC 20,,,SDE,2015/05/21 15:26:06,22.7,56964,590,,7.8,-4,0,0,132,52,3,126,21,0,30,13,55,12,41,56,2,0,0,49,2,-4.8,0,0,-3.7,-0.8,-1.7,4.2,0.7,-0.2,1.5,0.7,3.1,-0.7,1.2,-2.1,0.2,0,0,2.5,0.2,191210.915685077,1421324970.22449
13045910300,9103,ARC 20,,,SDE,2015/05/21 15:26:06,15.2,42287,1000,,17.1,0,0,0,290,0,5,-84,38,0,6,81,53,2,65,95,332,3,40,6,68,0,0,0,5.2,-0.4,-0.1,-15.9,0.8,0,0.1,1.7,1.5,0,0.9,-0.2,11.6,0.1,-6.9,0,1.4,188483.019679187,1592537985.16644
13045911100,9111,ARC 20,,,SDE,2015/05/21 15:26:06,29.8,42438,1278,,24.2,0,0,0,123,-12,16,-195,69,-46,-8,53,107,0,117,110,704,21,109,51,59,0,0,0,1.1,-0.2,0,-4,0.3,-1.1,-0.5,0.3,0.8,0,0.8,-0.6,3.1,0,0.1,0.3,-0.6,127359.16922123,561777380.447206
13045911000,9110,ARC 20,,,SDE,2015/05/21 15:26:06,29.3,45026,2827,,27.2,0,0,0,149,-6,10,62,0,0,101,149,154,15,109,1227,662,6,96,42,51,0,0,0,1.3,-15.7,0,-1.4,0,0,-0.9,0.7,1.1,-6.1,0.2,12.7,8.7,0.1,-0.6,0.1,0,103362.274055408,552049987.572216
