GEOID10,NAME10,PLNG_REGIO,created_us,created_da,last_edite,last_edit2,Percent_Fo,Foreign_Bo,Percent_U_,U_S__Nativ,GlobalID,Pop_Chg_pe,Pct_ForBor,ForeignBor,Pct_ForBo2,ForBorn_Na,Pct_US_Nat,US_Native_,Pct_USnati,USnative_B,Pct_USnat2,USnative_2,Shape_Leng,Shape_Area
13045910103,9101.03,ARC 20,,,SDE,2015/05/21 16:55:06,0.6,30,99.4,5126,,100.3,53.3,16,46.7,14,37.7,1944,57.5,2964,95.2,4908,118277.754224171,607399676.932592
13045910104,9101.04,ARC 20,,,SDE,2015/05/21 16:55:06,1,89,99,8895,,201.1,66.3,59,33.7,30,31.4,2821,67.2,6040,98.6,8861,124766.277906116,483848846.048713
13045910502,9105.02,ARC 20,,,SDE,2015/05/21 16:55:06,18.5,449,81.5,1975,,-368.8,80.8,363,19.2,86,11.9,288,67.7,1641,79.6,1929,30985.3346540114,46851520.2721302
13045910800,9108,ARC 20,,,SDE,2015/05/21 16:55:06,2,82,98,4048,,1.1,76.8,63,23.2,19,20.1,831,75.9,3136,96.1,3967,237362.002636664,1854391191.89244
13045910101,9101.01,ARC 20,,,SDE,2015/05/21 16:55:06,5.6,344,94.4,5835,,397.3,63.1,217,36.9,127,28.7,1772,65.3,4036,94,5808,67720.6040720509,179464142.883073
13045910200,9102,ARC 20,,,SDE,2015/05/21 16:55:06,1.4,164,98.6,11332,,93.9,6.1,10,93.9,154,25.4,2915,73,8388,98.3,11303,200510.053132609,1294612059.9915
13045910900,9109,ARC 20,,,SDE,2015/05/21 16:55:06,1,40,99,3785,,7.8,87.5,35,12.5,5,25,957,73.4,2807,98.4,3764,191210.915685077,1421324970.22449
13045910300,9103,ARC 20,,,SDE,2015/05/21 16:55:06,2.2,146,97.8,6413,,17.1,33.6,49,66.4,97,17,1115,79,5182,96,6297,188483.019679187,1592537985.16644
13045911100,9111,ARC 20,,,SDE,2015/05/21 16:55:06,5.7,444,94.3,7312,,24.2,64.9,288,35.1,156,25.6,1985,68.4,5306,94,7291,127359.16922123,561777380.447206
13045911000,9110,ARC 20,,,SDE,2015/05/21 16:55:06,8.2,509,91.8,5669,,27.2,86.4,440,13.6,69,27,1665,62.6,3870,89.6,5535,103362.274055408,552049987.572216
13045910701,9107.01,ARC 20,,,SDE,2015/05/21 16:55:06,3,280,97,8914,,116.1,61.4,172,38.6,108,29.7,2735,66.9,6147,96.6,8882,150756.970468562,707225757.490576
13045910703,9107.03,ARC 20,,,SDE,2015/05/21 16:55:06,2.8,223,97.2,7858,,68.9,72.6,162,27.4,61,28.8,2325,67.8,5476,96.5,7801,107808.869512959,385587810.753281
13045910600,9106,ARC 20,,,SDE,2015/05/21 16:55:06,8.2,506,91.8,5671,,70.5,82,415,18,91,28.9,1788,62.2,3840,91.1,5628,107942.661975138,350294860.374676
13045910501,9105.01,ARC 20,,,SDE,2015/05/21 16:55:06,14.6,1253,85.4,7319,,153.2,70.8,887,29.2,366,27.1,2323,57.1,4891,84.2,7214,101355.083791631,321595170.318669
13045910702,9107.02,ARC 20,,,SDE,2015/05/21 16:55:06,4.3,312,95.7,6938,,104.1,9.6,30,90.4,282,31.8,2305,62.6,4535,94.3,6840,117348.28427535,660896317.315651
13045911200,9112,ARC 20,,,SDE,2015/05/21 16:55:06,0.5,32,99.5,5863,,2.8,0,0,100,32,23,1354,76.4,4501,99.3,5855,202142.90764254,1823469968.92345
13045910400,9104,ARC 20,,,SDE,2015/05/21 16:55:06,0,0,100,3304,,-8.5,0,0,0,0,23.8,785,76,2511,99.8,3296,196671.673544441,1202468139.31595
13113140207,1402.07,ARC 10,,,SDE,2015/05/21 16:55:06,10.7,596,89.3,4999,,49,59.1,352,40.9,244,65.2,3650,23,1286,88.2,4936,41494.197815993,87756398.850407
13113140208,1402.08,ARC 10,,,SDE,2015/05/21 16:55:06,14.6,1110,85.4,6517,,435.5,60.3,669,39.7,441,52.5,4003,29.9,2277,82.3,6280,76889.4961770768,187201161.324454
13113140303,1403.03,ARC 10,,,SDE,2015/05/21 16:55:06,10.1,457,89.9,4051,,-88.6,50.3,230,49.7,227,54.7,2468,34.1,1535,88.8,4003,74036.546092173,158158984.969019
13113140304,1403.04,ARC 10,,,SDE,2015/05/21 16:55:06,7.3,437,92.7,5570,,-109.8,63.4,277,36.6,160,62,3722,26.8,1608,88.7,5330,54031.7991976389,150049861.873083
13113140307,1403.07,ARC 10,,,SDE,2015/05/21 16:55:06,6.8,338,93.2,4622,,123.4,57.7,195,42.3,143,62.7,3109,29,1436,91.6,4545,82519.0876519657,187003550.423712
13113140408,1404.08,ARC 10,,,SDE,2015/05/21 16:55:06,3.3,109,96.7,3188,,-26.1,66.1,72,33.9,37,43.7,1442,51.4,1695,95.1,3137,68558.8361291726,170909080.973232
13113140407,1404.07,ARC 10,,,SDE,2015/05/21 16:55:06,7.7,599,92.3,7220,,195.1,62.9,377,37.1,222,44.5,3476,46.3,3620,90.8,7096,73602.3079039766,240410203.459339
13113140405,1404.05,ARC 10,,,SDE,2015/05/21 16:55:06,8.1,292,91.9,3299,,14.3,31.5,92,68.5,200,49.2,1768,42.4,1523,91.6,3291,86159.2096180504,219994430.327601
13113140404,1404.04,ARC 10,,,SDE,2015/05/21 16:55:06,8.4,470,91.6,5158,,179.3,38.9,183,61.1,287,48.3,2717,42.4,2386,90.7,5103,57455.0140508061,153291601.515406
13113140206,1402.06,ARC 10,,,SDE,2015/05/21 16:55:06,9.7,403,90.3,3737,,161.4,15.6,63,84.4,340,53.7,2222,34.5,1430,88.2,3652,69712.6691047536,154774161.29234
13113140203,1402.03,ARC 10,,,SDE,2015/05/21 16:55:06,3.5,195,96.5,5357,,216.4,9.7,19,90.3,176,44.9,2492,49.9,2769,94.8,5261,91254.2436918478,290001802.812385
13113140204,1402.04,ARC 10,,,SDE,2015/05/21 16:55:06,16.5,913,83.5,4606,,42.5,72.2,659,27.8,254,40.2,2217,40.8,2254,81,4471,111233.227689548,451689259.554735
