TRACTCE10,GEOID10,NAME10,PLNG_REGIO,created_us,created_da,last_edite,last_edit2,Total_hous,Occupied_h,Percent_Oc,Vacant_hou,Percent_Va,Homeowner_,Rental_vac,One_unit_d,Housing_un,Owner_occu,Renter_occ,GlobalID,Pop_Chng_p,Percent_1U,Pct_Units_,Units_Buil,Units_Bui2,Pct_Units2,Pct_Owner_,Pct_Renter,Shape_Leng,Shape_Area
910103,13045910103,9101.03,ARC 20,,,SDE,2015/05/21 19:05:59,2151,2006,93.3,145,6.7,1.5,0,1559,1058,1404,602,,100.3,72.5,49.2,504,589,27.4,70,30,118277.754224171,607399676.932592
910104,13045910104,9101.04,ARC 20,,,SDE,2015/05/21 19:05:59,3478,3107,89.3,371,10.7,5.1,9.1,2657,1515,2366,741,,201.1,76.4,43.6,1355,608,17.5,76.2,23.8,124766.277906116,483848846.048713
910502,13045910502,9105.02,ARC 20,,,SDE,2015/05/21 19:05:59,1206,981,81.3,225,18.7,0,13.7,523,208,228,753,,-368.8,43.4,17.2,86,912,75.6,23.2,76.8,30985.3346540114,46851520.2721302
910800,13045910800,9108,ARC 20,,,SDE,2015/05/21 19:05:59,1692,1433,84.7,259,15.3,0,0,1128,311,1051,382,,1.1,66.7,18.4,766,615,36.3,73.3,26.7,237362.002636664,1854391191.89244
910101,13045910101,9101.01,ARC 20,,,SDE,2015/05/21 19:05:59,2513,2316,92.2,197,7.8,2.6,9.6,1790,1025,1256,1060,,397.3,71.2,40.8,529,959,38.2,54.2,45.8,67720.6040720509,179464142.883073
910200,13045910200,9102,ARC 20,,,SDE,2015/05/21 19:05:59,4673,4327,92.6,346,7.4,1.6,2.3,3621,2200,3459,868,,93.9,77.5,47.1,1333,1140,24.4,79.9,20.1,200510.053132609,1294612059.9915
910900,13045910900,9109,ARC 20,,,SDE,2015/05/21 19:05:59,1454,1295,89.1,159,10.9,0,9.7,1089,265,1044,251,,7.8,74.9,18.2,569,620,42.6,80.6,19.4,191210.915685077,1421324970.22449
910300,13045910300,9103,ARC 20,,,SDE,2015/05/21 19:05:59,2380,2186,91.8,194,8.2,2.4,1.7,2027,526,1548,638,,17.1,85.2,22.1,884,970,40.8,70.8,29.2,188483.019679187,1592537985.16644
911100,13045911100,9111,ARC 20,,,SDE,2015/05/21 19:05:59,3422,3088,90.2,334,9.8,3.1,3,2132,385,1687,1401,,24.2,62.3,11.3,1328,1709,49.9,54.6,45.4,127359.16922123,561777380.447206
911000,13045911000,9110,ARC 20,,,SDE,2015/05/21 19:05:59,2638,2266,85.9,372,14.1,2.6,9.9,1937,467,1477,789,,27.2,73.4,17.7,862,1309,49.6,65.2,34.8,103362.274055408,552049987.572216
910701,13045910701,9107.01,ARC 20,,,SDE,2015/05/21 19:05:59,3430,3065,89.4,365,10.6,3.6,7.4,2333,1211,1743,1322,,116.1,68,35.3,1328,891,26,56.9,43.1,150756.970468562,707225757.490576
910703,13045910703,9107.03,ARC 20,,,SDE,2015/05/21 19:05:59,3329,2824,84.8,505,15.2,8.8,7.3,2392,663,1872,952,,68.9,71.9,19.9,1587,1079,32.4,66.3,33.7,107808.869512959,385587810.753281
910600,13045910600,9106,ARC 20,,,SDE,2015/05/21 19:05:59,2391,2226,93.1,165,6.9,0,8,1872,435,1543,683,,70.5,78.3,18.2,631,1325,55.4,69.3,30.7,107942.661975138,350294860.374676
910501,13045910501,9105.01,ARC 20,,,SDE,2015/05/21 19:05:59,2586,2178,84.2,408,15.8,10,12.4,1199,1024,751,1427,,153.2,46.4,39.6,783,779,30.1,34.5,65.5,101355.083791631,321595170.318669
910702,13045910702,9107.02,ARC 20,,,SDE,2015/05/21 19:05:59,3183,2626,82.5,557,17.5,6.1,10.7,2903,902,2308,318,,104.1,91.2,28.3,1799,482,15.1,87.9,12.1,117348.28427535,660896317.315651
911200,13045911200,9112,ARC 20,,,SDE,2015/05/21 19:05:59,2500,2213,88.5,287,11.5,0,3.2,1871,220,1642,571,,2.8,74.8,8.8,757,1523,60.9,74.2,25.8,202142.90764254,1823469968.92345
910400,13045910400,9104,ARC 20,,,SDE,2015/05/21 19:05:59,1523,1357,89.1,166,10.9,1.9,13.2,1134,191,949,408,,-8.5,74.5,12.5,389,943,61.9,69.9,30.1,196671.673544441,1202468139.31595
140207,13113140207,1402.07,ARC 10,,,SDE,2015/05/21 19:05:59,2276,2195,96.4,81,3.6,0,0,1698,231,1751,444,,49,74.6,10.1,1735,310,13.6,79.8,20.2,41494.197815993,87756398.850407
