TRACTCE10,GEOID10,NAME10,PLNG_REGIO,created_us,created_da,last_edite,last_edit2,Population,Populatio2,Percent_of,Populatio3,Percent_o2,GlobalID,Pop_Chng_p,Pop_Moved_,Pct_Pop_Mo,Pop_Who_Mo,Pct_Pop_M2,Shape_Leng,Shape_Area
910103,13045910103,9101.03,ARC 20,,,SDE,2015/05/27 12:35:38,4787,3670,76.67,1105,23.08,,100.3,133,2.78,12,0.25,118277.754224171,607399676.932592
910104,13045910104,9101.04,ARC 20,,,SDE,2015/05/27 12:35:38,8628,7544,87.44,1084,12.56,,201.1,0,0,0,0,124766.277906116,483848846.048713
910502,13045910502,9105.02,ARC 20,,,SDE,2015/05/27 12:35:38,3049,1935,63.46,1114,36.54,,-368.8,86,2.82,0,0,30985.3346540114,46851520.2721302
910800,13045910800,9108,ARC 20,,,SDE,2015/05/27 12:35:38,4170,3341,80.12,816,19.57,,1.1,181,4.34,13,0.31,237362.002636664,1854391191.89244
910101,13045910101,9101.01,ARC 20,,,SDE,2015/05/27 12:35:38,5647,4488,79.48,1036,18.35,,397.3,211,3.74,123,2.18,67720.6040720509,179464142.883073
910200,13045910200,9102,ARC 20,,,SDE,2015/05/27 12:35:38,11767,9946,84.52,1821,15.48,,93.9,167,1.42,0,0,200510.053132609,1294612059.9915
910900,13045910900,9109,ARC 20,,,SDE,2015/05/27 12:35:38,3847,3069,79.78,778,20.22,,7.8,28,0.73,0,0,191210.915685077,1421324970.22449
910300,13045910300,9103,ARC 20,,,SDE,2015/05/27 12:35:38,6130,4806,78.4,1324,21.6,,17.1,231,3.77,0,0,188483.019679187,1592537985.16644
911100,13045911100,9111,ARC 20,,,SDE,2015/05/27 12:35:38,7312,6197,84.75,1104,15.1,,24.2,151,2.07,11,0.15,127359.16922123,561777380.447206
911000,13045911000,9110,ARC 20,,,SDE,2015/05/27 12:35:38,6690,5303,79.27,1371,20.49,,27.2,220,3.29,16,0.24,103362.274055408,552049987.572216
910701,13045910701,9107.01,ARC 20,,,SDE,2015/05/27 12:35:38,9066,7061,77.88,2005,22.12,,116.1,145,1.6,0,0,150756.970468562,707225757.490576
910703,13045910703,9107.03,ARC 20,,,SDE,2015/05/27 12:35:38,8446,6409,75.88,2022,23.94,,68.9,93,1.1,15,0.18,107808.869512959,385587810.753281
910600,13045910600,9106,ARC 20,,,SDE,2015/05/27 12:35:38,5615,4404,78.43,1211,21.57,,70.5,226,4.02,0,0,107942.661975138,350294860.374676
910501,13045910501,9105.01,ARC 20,,,SDE,2015/05/27 12:35:38,7724,4379,56.69,3185,41.24,,153.2,263,3.4,160,2.07,101355.083791631,321595170.318669
910702,13045910702,9107.02,ARC 20,,,SDE,2015/05/27 12:35:38,6593,6001,91.02,579,8.78,,104.1,85,1.29,13,0.2,117348.28427535,660896317.315651
911200,13045911200,9112,ARC 20,,,SDE,2015/05/27 12:35:38,5888,4688,79.62,1167,19.82,,2.8,46,0.78,33,0.56,202142.90764254,1823469968.92345
