TRACTCE10,GEOID10,NAME10,PLNG_REGIO,created_us,created_da,last_edite,last_edit2,geoID10_db,Service_oc,Percent_Se,Sales_and_,GlobalID,Pop_Chng_p,CivEmplPop,MgmtBusSci,Pct_MgmtBu,Pct_Sales_,NatRes_Con,Pct_NatRes,Prod_Trans,Pct_Prod_T,Shape_Leng,Shape_Area
910103,13045910103,9101.03,ARC 20,,,SDE,2015/05/27 14:18:57,13045910103,465,19.1,569,,100.3,2438,811,33.3,23.3,294,12.1,299,12.3,118277.754224171,607399676.932592
910104,13045910104,9101.04,ARC 20,,,SDE,2015/05/27 14:18:57,13045910104,882,21.5,1129,,201.1,4108,665,16.2,27.5,566,13.8,866,21.1,124766.277906116,483848846.048713
910502,13045910502,9105.02,ARC 20,,,SDE,2015/05/27 14:18:57,13045910502,244,29.1,169,,-368.8,838,62,7.4,20.2,117,14,246,29.4,30985.3346540114,46851520.2721302
910800,13045910800,9108,ARC 20,,,SDE,2015/05/27 14:18:57,13045910800,113,7,367,,1.1,1610,390,24.2,22.8,371,23,369,22.9,237362.002636664,1854391191.89244
910101,13045910101,9101.01,ARC 20,,,SDE,2015/05/27 14:18:57,13045910101,351,14.2,642,,397.3,2465,905,36.7,26,170,6.9,397,16.1,67720.6040720509,179464142.883073
910200,13045910200,9102,ARC 20,,,SDE,2015/05/27 14:18:57,13045910200,823,16.8,1196,,93.9,4887,1246,25.5,24.5,638,13.1,984,20.1,200510.053132609,1294612059.9915
910900,13045910900,9109,ARC 20,,,SDE,2015/05/27 14:18:57,13045910900,197,12,360,,7.8,1638,460,28.1,22,244,14.9,377,23,191210.915685077,1421324970.22449
910300,13045910300,9103,ARC 20,,,SDE,2015/05/27 14:18:57,13045910300,356,13.8,568,,17.1,2572,690,26.8,22.1,363,14.1,595,23.1,188483.019679187,1592537985.16644
911100,13045911100,9111,ARC 20,,,SDE,2015/05/27 14:18:57,13045911100,515,13.7,1130,,24.2,3753,1468,39.1,30.1,322,8.6,318,8.5,127359.16922123,561777380.447206
911000,13045911000,9110,ARC 20,,,SDE,2015/05/27 14:18:57,13045911000,598,20.7,484,,27.2,2887,1016,35.2,16.8,388,13.4,401,13.9,103362.274055408,552049987.572216
910701,13045910701,9107.01,ARC 20,,,SDE,2015/05/27 14:18:57,13045910701,468,13.4,1043,,116.1,3485,948,27.2,29.9,191,5.5,835,24,150756.970468562,707225757.490576
910703,13045910703,9107.03,ARC 20,,,SDE,2015/05/27 14:18:57,13045910703,551,17.2,622,,68.9,3207,945,29.5,19.4,325,10.1,764,23.8,107808.869512959,385587810.753281
910600,13045910600,9106,ARC 20,,,SDE,2015/05/27 14:18:57,13045910600,412,17.4,439,,70.5,2368,800,33.8,18.5,214,9,503,21.2,107942.661975138,350294860.374676
910501,13045910501,9105.01,ARC 20,,,SDE,2015/05/27 14:18:57,13045910501,964,29,601,,153.2,3326,772,23.2,18.1,564,17,425,12.8,101355.083791631,321595170.318669
910702,13045910702,9107.02,ARC 20,,,SDE,2015/05/27 14:18:57,13045910702,428,13.4,737,,104.1,3187,1079,33.9,23.1,395,12.4,548,17.2,117348.28427535,660896317.315651
911200,13045911200,9112,ARC 20,,,SDE,2015/05/27 14:18:57,13045911200,454,20.4,359,,2.8,2225,605,27.2,16.1,323,14.5,484,21.8,202142.90764254,1823469968.92345
910400,13045910400,9104,ARC 20,,,SDE,2015/05/27 14:18:57,13045910400,129,10.5,240,,-8.5,1232,305,24.8,19.5,250,20.3,308,25,196671.673544441,1202468139.31595
140207,13113140207,1402.07,ARC 10,,,SDE,2015/05/27 14:18:57,13113140207,292,10.6,793,,49,2766,1311,47.4,28.7,14,0.5,356,12.9,41494.197815993,87756398.850407
140208,13113140208,1402.08,ARC 10,,,SDE,2015/05/27 14:18:57,13113140208,530,15.9,933,,435.5,3340,1431,42.8,27.9,115,3.4,331,9.9,76889.4961770768,187201161.324454
140303,13113140303,1403.03,ARC 10,,,SDE,2015/05/27 14:18:57,13113140303,352,17.2,427,,-88.6,2049,986,48.1,20.8,116,5.7,168,8.2,74036.546092173,158158984.969019
140304,13113140304,1403.04,ARC 10,,,SDE,2015/05/27 14:18:57,13113140304,459,16.3,819,,-109.8,2812,1048,37.3,29.1,185,6.6,301,10.7,54031.7991976389,150049861.873083
140307,13113140307,1403.07,ARC 10,,,SDE,2015/05/27 14:18:57,13113140307,181,8.2,471,,123.4,2212,1067,48.2,21.3,104,4.7,389,17.6,82519.0876519657,187003550.423712
140408,13113140408,1404.08,ARC 10,,,SDE,2015/05/27 14:18:57,13113140408,128,8.1,461,,-26.1,1587,638,40.2,29,176,11.1,184,11.6,68558.8361291726,170909080.973232
140407,13113140407,1404.07,ARC 10,,,SDE,2015/05/27 14:18:57,13113140407,439,12,921,,195.1,3652,1418,38.8,25.2,309,8.5,565,15.5,73602.3079039766,240410203.459339
140405,13113140405,1404.05,ARC 10,,,SDE,2015/05/27 14:18:57,13113140405,95,6.2,529,,14.3,1529,663,43.4,34.6,136,8.9,106,6.9,86159.2096180504,219994430.327601
140404,13113140404,1404.04,ARC 10,,,SDE,2015/05/27 14:18:57,13113140404,369,15.4,495,,179.3,2395,1143,47.7,20.7,107,4.5,281,11.7,57455.0140508061,153291601.515406
140206,13113140206,1402.06,ARC 10,,,SDE,2015/05/27 14:18:57,13113140206,225,12.3,460,,161.4,1832,824,45,25.1,6,0.3,317,17.3,69712.6691047536,154774161.29234
140203,13113140203,1402.03,ARC 10,,,SDE,2015/05/27 14:18:57,13113140203,284,11.8,591,,216.4,2416,1057,43.8,24.5,136,5.6,348,14.4,91254.2436918478,290001802.812385
140204,13113140204,1402.04,ARC 10,,,SDE,2015/05/27 14:18:57,13113140204,411,15.5,517,,42.5,2656,1120,42.2,19.5,296,11.1,312,11.7,111233.227689548,451689259.554735
140305,13113140305,1403.05,ARC 10,,,SDE,2015/05/27 14:18:57,13113140305,264,12.6,526,,247.1,2097,923,44,25.1,175,8.3,209,10,75691.0599903283,281645192.402095
140403,13113140403,1404.03,ARC 10,,,SDE,2015/05/27 14:18:57,13113140403,269,11.5,736,,122.7,2340,897,38.3,31.5,220,9.4,218,9.3,60438.1572472479,171544532.960813
140406,13113140406,1404.06,ARC 10,,,SDE,2015/05/27 14:18:57,13113140406,234,13.1,529,,37.3,1781,647,36.3,29.7,224,12.6,147,8.3,64901.9223152953,145879392.943182
140306,13113140306,1403.06,ARC 10,,,SDE,2015/05/27 14:18:57,13113140306,224,6,716,,56.3,3751,2013,53.7,19.1,216,5.8,582,15.5,53563.4374397149,143487501.381617
140102,13113140102,1401.02,ARC 10,,,SDE,2015/05/27 14:18:57,13113140102,415,16,789,,-3.8,2594,1033,39.8,30.4,145,5.6,212,8.2,109851.693263908,336656631.741546
140101,13113140101,1401.01,ARC 10,,,SDE,2015/05/27 14:18:57,13113140101,575,18.6,754,,49.1,3096,1165,37.6,24.4,248,8,354,11.4,102874.559858092,458546834.726017
