FIPSSTCO,ct00,STFID,HH_16,TotalPop16,Emp_16,Cons_16,Manu_16,TCU_16,Whol_16,Retail_16,FIRE_16,Serv_16,Govt_16,HH_20,TotalPop20,Emp_20,Cons_20,Manu_20,TCU_20,Whol_20,Retail_20,FIRE_20,Serv_20,Govt_20,HH_24,TotalPop24,Emp_24,Cons_24,Manu_24,TCU_24,Whol_24,Retail_24,FIRE_24,Serv_24,Govt_24,HH_25,TotalPop25,Emp_25,Cons_25,Manu_25,TCU_25,Whol_25,Retail_25,FIRE_25,Serv_25,Govt_25,HH_30,TotalPop30,Emp_30,Cons_30,Manu_30,TCU_30,Whol_30,Retail_30,FIRE_30,Serv_30,Govt_30,HH_40,TotalPop40,Emp_40,Cons_40,Manu_40,TCU_40,Whol_40,Retail_40,FIRE_40,Serv_40,Govt_40,GlobalID,last_edite,Shape_Leng,Shape_Area
13297,1101,13297110100,3003,8315,1384,893,9,47,13,76,82,264,0,3100,8539,1510,946,9,47,13,85,104,306,0,3254,8951,1613,974,10,47,13,96,124,348,1,3282,9017,1635,981,10,47,13,98,127,358,1,3422,9373,1748,1013,10,46,13,109,149,407,1,3784,10278,2004,1083,14,45,13,139,201,508,1,,,211282.507185078,1346436203.14803
13297,1102,13297110200,1951,5138,531,141,9,26,39,52,56,208,0,2239,5867,674,202,9,35,39,59,69,257,4,2480,6510,792,234,10,43,39,67,82,307,10,2535,6644,812,239,10,45,39,67,84,317,11,2782,7248,951,279,10,57,39,77,97,377,15,3278,8517,1250,361,11,80,39,106,129,501,23,,,223081.546385532,1770033692.8348
13297,1103,13297110300,3294,8259,2849,21,272,81,0,1034,124,753,564,3580,8880,3038,23,272,81,0,1041,135,804,682,4014,9918,3204,23,272,82,0,1048,144,855,780,4118,10149,3242,23,272,82,0,1049,146,866,804,4614,11300,3453,23,274,82,0,1058,157,927,932,5350,12947,3896,23,281,82,0,1089,179,1057,1185,,,96982.2490954593,377751816.020023
13297,1104,13297110400,2707,7179,3063,4,332,9,54,1314,184,1166,0,2823,7442,3242,5,332,9,54,1363,216,1263,0,3020,7926,3391,5,333,9,51,1399,240,1353,1,3062,8029,3428,5,334,9,50,1410,245,1374,1,3272,8544,3658,5,343,9,46,1479,281,1494,1,3623,9379,4193,5,376,9,36,1663,358,1745,1,,,85784.3069583783,373894683.807571
13297,1105.01,13297110501,4659,13188,2121,239,67,142,88,344,219,729,293,4946,13903,2412,261,67,147,88,362,254,830,403,5510,15390,2650,272,67,151,85,376,282,923,494,5649,15752,2708,276,67,152,84,379,288,945,517,6321,17548,3034,290,71,158,80,404,326,1070,635,7300,20043,3738,320,80,170,70,468,411,1350,869,,,123963.129312564,606960084.67697
13297,1105.02,13297110502,6756,19030,3903,654,147,59,81,994,338,1630,0,7595,21260,4422,767,148,60,81,1061,400,1903,2,8559,23787,4819,824,150,61,78,1111,449,2140,6,8797,24422,4913,836,150,61,77,1126,459,2198,6,9951,27503,5490,905,164,61,73,1222,527,2532,6,11981,32714,6775,1053,207,63,63,1482,669,3227,11,,,147758.705385571,924839042.096915
13297,1106,13297110600,6327,17856,1683,216,324,14,24,186,223,648,48,7276,20432,1941,253,325,16,24,205,277,767,74,8104,22659,2165,275,328,17,24,224,322,878,97,8300,23184,2215,279,330,17,24,227,333,902,103,9269,25804,2533,302,364,18,24,253,394,1046,132,10922,30097,3282,350,484,21,24,328,529,1357,189,,,179409.693050916,1697116191.81606
13297,1107,13297110700,2977,8673,3480,125,104,241,495,785,225,1401,104,3550,10040,4014,144,104,253,491,834,267,1772,149,4278,11731,4486,153,106,261,479,871,300,2130,186,4460,12163,4609,155,106,263,476,879,308,2226,196,5338,14261,5348,166,117,274,460,943,353,2792,243,6869,17886,7187,190,155,295,421,1113,452,4221,340,,,150784.356712549,701414136.193148
13297,1108,13297110800,2634,7646,2526,86,509,109,29,398,71,991,333,2957,8483,2874,110,510,114,29,442,84,1154,431,3191,9072,3161,123,511,119,29,475,95,1295,514,3245,9213,3238,125,513,120,29,484,98,1335,534,3503,9882,3681,137,538,127,29,553,113,1543,641,4408,12239,4667,167,620,142,29,736,144,1976,853,,,184897.042424377,1401509876.54056
13013,1801.01,13013180101,6078,17394,3403,328,589,128,217,866,604,671,0,6949,19678,3850,405,593,150,217,959,721,803,2,7757,21852,4188,448,598,168,210,1021,816,923,4,7956,22392,4284,454,608,172,209,1043,844,950,4,8896,24931,4887,505,713,199,201,1174,993,1098,4,11036,30574,6325,608,1074,253,181,1504,1315,1383,7,,,159908.948983445,848895049.589716
