TRACTCE10,GEOID10,NAME10,PLNG_REGIO,created_us,created_da,last_edite,last_edit2,Median_age,Median_ag2,Median_ag3,Population,Populatio2,Populatio3,Populatio4,Populatio5,Populatio6,Populatio7,Populatio8,Change_in_,Change_in2,Change_in3,Change_in4,GlobalID,Pop_Chng_p,Pop_Ages_6,Pct_Pop_Un,Pct_Pop_Ag,Pct_Pop_A2,Pct_Pop_A3,Pct_Pop_A4,Pop_Ages_2,Pct_Pop_U2,Pct_Pop_A5,Pct_Pop_A6,Pct_Pop_A7,Pct_Pop_A8,Chng_Pct_P,ChgPctPop_,Chg_Pct_Po,Chng_Pct_2,Chng_Pop_A,Chng_Pct_3,Shape_Leng,Shape_Area
910103,13045910103,9101.03,ARC 20,,,SDE,2015/05/27 15:27:50,33.3,32.6,33.8,1620,1021,756,1176,837,579,492,662,783,442,264,514,,100.3,447,32.3,20.3,15.1,0,8.9,264,29.5,20.4,17.4,23.4,9.3,2.8,-0.1,-2.3,0,183,-0.4,118277.754224171,607399676.932592
910104,13045910104,9101.04,ARC 20,,,SDE,2015/05/27 15:27:50,33.3,32.7,33.9,2919,1991,1387,2178,1831,1379,933,1233,1088,612,454,945,,201.1,798,31.5,21.5,15,0,8.6,397,31.7,23.9,16.2,21.4,6.9,-0.2,-2.4,-1.2,2.1,401,1.7,124766.277906116,483848846.048713
910502,13045910502,9105.02,ARC 20,,,SDE,2015/05/27 15:27:50,25.5,25.6,25.3,798,1092,294,524,1090,1267,433,505,-292,-175,-139,19,,-368.8,212,27.3,37.4,10.1,0,7.3,252,30.7,35.7,12.2,14.2,7.1,-3.4,1.7,-2.1,3.7,-40,0.2,30985.3346540114,46851520.2721302
910800,13045910800,9108,ARC 20,,,SDE,2015/05/27 15:27:50,40.2,39.8,40.6,1060,652,539,1232,1187,750,681,918,-127,-98,-142,314,,1.1,491,26.7,16.4,13.6,0,12.4,367,30.4,19.2,17.4,23.5,9.4,-3.7,-2.8,-3.8,7.5,124,3,237362.002636664,1854391191.89244
910101,13045910101,9101.01,ARC 20,,,SDE,2015/05/27 15:27:50,30.8,29.8,31.7,1835,1489,819,1243,1057,762,495,670,778,727,324,573,,397.3,543,30.9,25.1,13.8,0,9.2,402,31.2,22.5,14.6,19.8,11.9,-0.3,2.6,-0.8,1.2,141,-2.7,67720.6040720509,179464142.883073
910200,13045910200,9102,ARC 20,,,SDE,2015/05/27 15:27:50,34.5,34.4,34.6,3629,2329,1811,2864,2227,1700,1124,1704,1402,629,687,1160,,93.9,1095,30.9,19.9,15.4,0,9.3,619,30.2,23.1,15.2,23.1,8.4,0.7,-3.2,0.2,1.3,476,0.9,200510.053132609,1294612059.9915
910900,13045910900,9109,ARC 20,,,SDE,2015/05/27 15:27:50,38.7,38.6,38.8,1126,623,549,1168,1108,758,566,752,18,-135,-17,416,,7.8,425,28.9,16,14.1,0,10.9,310,31.7,21.7,16.2,21.5,8.9,-2.8,-5.7,-2.1,8.5,115,2,191210.915685077,1421324970.22449
910300,13045910300,9103,ARC 20,,,SDE,2015/05/27 15:27:50,36.7,35.9,37.7,1857,1174,841,1728,1621,1109,815,1252,236,65,26,476,,17.1,710,29.4,18.6,13.3,0,11.3,539,30.4,20.8,15.3,23.5,10.1,-1,-2.2,-2,3.9,171,1.2,188483.019679187,1592537985.16644
911100,13045911100,9111,ARC 20,,,SDE,2015/05/27 15:27:50,38.8,36.3,41.2,1701,1476,825,1646,1551,1562,856,1500,150,-86,-31,146,,24.2,1343,24.3,21.1,11.8,0,19.2,1033,23.9,24,13.2,23.1,15.9,0.4,-2.9,-1.4,0.4,310,3.3,127359.16922123,561777380.447206
911000,13045911000,9110,ARC 20,,,SDE,2015/05/27 15:27:50,34.6,32.6,36.4,1896,1211,803,1549,1774,1266,854,1204,122,-55,-51,345,,27.2,698,30.8,19.7,13,0,11.3,521,31.6,22.5,15.2,21.4,9.3,-0.8,-2.8,-2.2,3.8,177,2,103362.274055408,552049987.572216
910701,13045910701,9107.01,ARC 20,,,SDE,2015/05/27 15:27:50,33.3,32.4,34.5,2619,2193,1454,2113,1876,1488,1127,1210,743,705,327,903,,116.1,792,28.6,23.9,15.9,0,8.6,520,30.2,23.9,18.1,19.5,8.4,-1.6,0,-2.2,3.5,272,0.2,150756.970468562,707225757.490576
910703,13045910703,9107.03,ARC 20,,,SDE,2015/05/27 15:27:50,35.2,33.3,37.1,2298,1671,1028,1964,2094,1558,1090,1483,204,113,-62,481,,68.9,1011,28.8,21,12.9,0,12.7,796,29.8,22.2,15.5,21.1,11.3,-1,-1.2,-2.6,3.5,215,1.4,107808.869512959,385587810.753281
910600,13045910600,9106,ARC 20,,,SDE,2015/05/27 15:27:50,32.3,30.8,33.9,1652,1335,673,1232,1373,1025,708,926,279,310,-35,306,,70.5,676,29.7,24,12.1,0,12.1,648,29.3,21.9,15.1,19.8,13.8,0.4,2.1,-3,2.3,28,-1.7,107942.661975138,350294860.374676
910501,13045910501,9105.01,ARC 20,,,SDE,2015/05/27 15:27:50,21.3,21.9,20.9,3276,3614,603,961,2783,2478,690,847,493,1136,-87,114,,153.2,422,36.9,40.7,6.8,0,4.8,316,39.1,34.8,9.7,11.9,4.4,-2.2,5.9,-2.9,-1.1,106,0.4,101355.083791631,321595170.318669
910702,13045910702,9107.02,ARC 20,,,SDE,2015/05/27 15:27:50,39.4,38.9,39.8,2123,1238,1197,2169,1406,1008,886,1424,717,230,311,745,,104.1,1011,27.4,16,15.5,0,13.1,546,26.7,19.1,16.8,27,10.4,0.7,-3.1,-1.3,1,465,2.7,117348.28427535,660896317.315651
911200,13045911200,9112,ARC 20,,,SDE,2015/05/27 15:27:50,40.7,39.5,41.5,1511,966,707,1668,1567,1039,887,1363,-56,-73,-180,305,,2.8,876,26.4,16.9,12.3,0,15.3,689,28.3,18.7,16,24.6,12.4,-1.9,-1.8,-3.7,4.5,187,2.9,202142.90764254,1823469968.92345
910400,13045910400,9104,ARC 20,,,SDE,2015/05/27 15:27:51,42.5,42.1,43.1,836,498,436,953,1017,705,579,856,-181,-207,-143,97,,-8.5,558,25.5,15.2,13.3,0,17,492,27.9,19.3,15.9,23.5,13.5,-2.4,-4.1,-2.6,5.5,66,3.5,196671.673544441,1202468139.31595
140207,13113140207,1402.07,ARC 10,,,SDE,2015/05/27 15:27:51,45.8,46.1,45.5,1448,565,664,2121,1715,575,1096,1646,-267,-10,-432,475,,49,732,26.2,10.2,12,0,13.2,346,31.9,10.7,20.4,30.6,6.4,-5.7,-0.5,-8.4,7.8,386,6.8,41494.197815993,87756398.850407
140208,13113140208,1402.08,ARC 10,,,SDE,2015/05/27 15:27:51,36.6,35.1,37.9,2502,1156,1393,1930,1629,780,903,1029,873,376,490,901,,435.5,732,32.4,15,18.1,0,9.5,454,34,16.3,18.8,21.5,9.5,-1.6,-1.3,-0.7,3.5,278,0,76889.4961770768,187201161.324454
140303,13113140303,1403.03,ARC 10,,,SDE,2015/05/27 15:27:51,42.5,40.4,44.2,1333,519,627,1474,1699,725,957,1250,-366,-206,-330,224,,-88.6,597,29.3,11.4,13.8,0,13.1,424,33.6,14.3,18.9,24.7,8.4,-4.3,-2.9,-5.1,7.7,173,4.7,74036.546092173,158158984.969019
140304,13113140304,1403.04,ARC 10,,,SDE,2015/05/27 15:27:51,44.2,42.1,45.7,1561,664,723,2007,1970,783,1096,1902,-409,-119,-373,105,,-109.8,802,27.1,11.5,12.6,0,13.9,599,31,12.3,17.3,30,9.4,-3.9,-0.8,-4.7,4.9,203,4.5,54031.7991976389,150049861.873083
140307,13113140307,1403.07,ARC 10,,,SDE,2015/05/27 15:27:51,42.4,42.6,42.2,1830,257,645,1904,1782,289,1112,796,48,-32,-467,1108,,123.4,242,37.5,5.3,13.2,0,5,72,44,7.1,27.5,19.6,1.8,-6.5,-1.8,-14.3,19.4,170,3.2,82519.0876519657,187003550.423712
140408,13113140408,1404.08,ARC 10,,,SDE,2015/05/27 15:27:51,43.3,43.3,43.3,915,397,389,1167,1142,436,682,944,-227,-39,-293,223,,-26.1,371,28.2,12.3,12,0,11.5,194,33.6,12.8,20.1,27.8,5.7,-5.4,-0.5,-8.1,8.2,177,5.8,68558.8361291726,170909080.973232
140407,13113140407,1404.07,ARC 10,,,SDE,2015/05/27 15:27:51,41.1,38.9,42.4,2050,1163,1110,2283,1641,1224,1000,1484,409,-61,110,799,,195.1,1101,26.6,15.1,14.4,0,14.3,679,27.2,20.3,16.6,24.6,11.3,-0.6,-5.2,-2.2,5,422,3,73602.3079039766,240410203.459339
140405,13113140405,1404.05,ARC 10,,,SDE,2015/05/27 15:27:51,45.9,45.5,46.3,931,333,398,1264,1023,405,592,1025,-92,-72,-194,239,,14.3,515,27.1,9.7,11.6,0,15,283,30.7,12.2,17.8,30.8,8.5,-3.6,-2.5,-6.2,5.9,232,6.5,86159.2096180504,219994430.327601
140404,13113140404,1404.04,ARC 10,,,SDE,2015/05/27 15:27:51,42.2,40.7,43.3,1582,658,799,1670,1381,654,872,1069,201,4,-73,601,,179.3,824,28.6,11.9,14.4,0,14.9,571,30.4,14.4,19.2,23.5,12.6,-1.8,-2.5,-4.8,6.7,253,2.3,57455.0140508061,153291601.515406
140206,13113140206,1402.06,ARC 10,,,SDE,2015/05/27 15:27:51,44,43.5,44.6,1323,415,556,1548,1153,397,678,1084,170,18,-122,464,,161.4,623,29.6,9.3,12.5,0,14,249,32.4,11.1,19,30.4,7,-2.8,-1.8,-6.5,4.3,374,7,69712.6691047536,154774161.29234
140203,13113140203,1402.03,ARC 10,,,SDE,2015/05/27 15:27:51,41.7,41.4,41.9,1679,679,861,1922,1010,494,610,1069,669,185,251,853,,216.4,602,29.2,11.8,15,0,10.5,309,28.9,14.1,17.5,30.6,8.8,0.3,-2.3,-2.5,2.9,293,1.7,91254.2436918478,290001802.812385
140204,13113140204,1402.04,ARC 10,,,SDE,2015/05/27 15:27:51,37.6,34.9,40,1611,832,690,1551,1473,749,837,1151,138,83,-147,400,,42.5,506,31,16,13.3,0,9.7,291,32.7,16.6,18.6,25.6,6.5,-1.7,-0.6,-5.3,4.3,215,3.2,111233.227689548,451689259.554735
