TRACTCE10,GEOID10,NAME10,PLNG_REGIO,created_us,created_da,last_edite,last_edit2,Population,Populatio2,White__201,Black__201,Asian_Paci,Hispanic__,All_Non_Wh,Percent__W,Percent__B,Percent_NW,White__200,Black__200,Asian_Pac2,Hispanic_2,All_Non_W2,Percent__2,Percent__3,Percent_N2,Change_in_,Change_in2,Change_in3,GlobalID,Pop_Chng_p,OthrRaces_,Pct_Asian_,Pct_OthrRa,Pct_Hispan,OthrRaces2,Pct_Asian2,Pct_OthrR2,Pct_Hispa2,Chg_Asian_,Chg_Othr_i,Chng_Pct_W,Chng_Pct_B,ChngPct_As,ChngPct_Ot,Chng_Pct_H,Chng_MajWh,Shape_Leng,Shape_Area
910103,13045910103,9101.03,ARC 20,,,SDE,2015/05/27 16:20:53,5020,2834,3726,821,61,293,1294,74.2,16.4,25.8,2578,129,36,49,256,91,4.6,9,1148,692,244,,100.3,119,1.2,2.4,1.7,42,1.3,1.5,1.7,25,77,-16.8,11.8,-0.1,0.9,4.1,0,118277.754224171,607399676.932592
910104,13045910104,9101.04,ARC 20,,,SDE,2015/05/27 16:20:53,9273,5774,7098,1424,53,474,2175,76.5,15.4,23.5,5041,562,44,72,733,87.3,9.7,12.7,2057,862,402,,201.1,224,0.6,2.4,1.2,55,0.8,1,1.2,9,169,-10.8,5.7,-0.2,1.4,3.9,0,124766.277906116,483848846.048713
910502,13045910502,9105.02,ARC 20,,,SDE,2015/05/27 16:20:53,2920,3547,673,1423,10,736,2247,23,48.7,77,843,2098,12,537,2704,23.8,59.1,76.2,-170,-675,199,,-368.8,78,0.3,2.7,15.1,57,0.3,1.6,15.1,-2,21,-0.8,-10.4,0,1.1,10.1,0,30985.3346540114,46851520.2721302
910800,13045910800,9108,ARC 20,,,SDE,2015/05/27 16:20:53,3974,3903,3613,234,6,66,361,90.9,5.9,9.1,3599,255,2,17,304,92.2,6.5,7.8,14,-21,49,,1.1,55,0.2,1.4,0.4,30,0.1,0.8,0.4,4,25,-1.3,-0.6,0.1,0.6,1.3,0,237362.002636664,1854391191.89244
910101,13045910101,9101.01,ARC 20,,,SDE,2015/05/27 16:20:53,5929,3386,3444,1763,48,477,2485,58.1,29.7,41.9,2631,626,7,65,755,77.7,18.5,22.3,813,1137,412,,397.3,197,0.8,3.3,1.9,57,0.2,1.7,1.9,41,140,-19.6,11.2,0.6,1.6,6.1,0,67720.6040720509,179464142.883073
910200,13045910200,9102,ARC 20,,,SDE,2015/05/27 16:20:53,11728,7373,9624,1471,71,337,2104,82.1,12.5,17.9,6667,525,25,72,706,90.4,7.1,9.6,2957,946,265,,93.9,225,0.6,1.9,1,84,0.3,1.1,1,46,141,-8.3,5.4,0.3,0.8,1.9,0,200510.053132609,1294612059.9915
910900,13045910900,9109,ARC 20,,,SDE,2015/05/27 16:20:53,3891,3494,3574,194,5,56,317,91.9,5,8.1,3198,223,2,44,296,91.5,6.4,8.5,376,-29,12,,7.8,62,0.1,1.6,1.3,27,0.1,0.8,1.3,3,35,0.4,-1.4,0,0.8,0.1,0,191210.915685077,1421324970.22449
910300,13045910300,9103,ARC 20,,,SDE,2015/05/27 16:20:53,6310,5336,5399,511,71,180,911,85.6,8.1,14.4,4653,557,29,54,683,87.2,10.4,12.8,746,-46,126,,17.1,149,1.1,2.4,1,43,0.5,0.8,1,42,106,-1.6,-2.3,0.6,1.6,1.9,0,188483.019679187,1592537985.16644
911100,13045911100,9111,ARC 20,,,SDE,2015/05/27 16:20:53,6991,6502,5690,791,56,337,1301,81.4,11.3,18.6,5707,578,41,108,795,87.8,8.9,12.2,-17,213,229,,24.2,117,0.8,1.7,1.7,68,0.6,1,1.7,15,49,-6.4,2.4,0.2,0.7,3.1,0,127359.16922123,561777380.447206
911000,13045911000,9110,ARC 20,,,SDE,2015/05/27 16:20:53,6157,5619,4064,1246,33,696,2093,66,20.2,34,3914,1419,41,174,1705,69.7,25.3,30.3,150,-173,522,,27.2,118,0.5,1.9,3.1,71,0.7,1.3,3.1,-8,47,-3.7,-5.1,-0.2,0.6,8.2,0,103362.274055408,552049987.572216
