GEOID10,NAME10,PLNG_REGIO,created_us,created_da,last_edite,last_edit2,Percent_BA,Median_hou,Square_Mil,Households,Population,Household2,Populatio2,Household3,Populatio3,Household4,Populatio4,Household5,Populatio5,Household6,Populatio6,Populatio7,Household_,GlobalID,Pop_Change,Pop_Chang2,Shape_Leng,Shape_Area
13045910103,9101.03,ARC 20,,,SDE,2015/05/19 14:07:17,20.7,57188,21.8,1846,4813,2000,5162,2335,5999,2666,6794,3071,7802,3607,9136,4323,1761,,100.3,198.3,118277.754224171,607399676.932592
13045910104,9101.04,ARC 20,,,SDE,2015/05/19 14:07:17,13.2,54987,17.4,3225,8923,3270,8965,3388,9218,3481,9413,3563,9576,3696,9892,969,471,,201.1,55.7,124766.277906116,483848846.048713
13045910502,9105.02,ARC 20,,,SDE,2015/05/19 14:07:17,7.9,18975,1.7,1284,3365,1357,3523,1480,3807,1516,3865,1615,4037,1712,4217,852,428,,-368.8,501.2,30985.3346540114,46851520.2721302
13045910800,9108,ARC 20,,,SDE,2015/05/19 14:07:17,8.9,50194,66.5,1785,4778,2006,5294,2284,6000,2537,6617,2924,7603,3438,8865,4087,1653,,1.1,61.5,237362.002636664,1854391191.89244
13045910101,9101.01,ARC 20,,,SDE,2015/05/19 14:07:17,16.4,46840,6.4,2339,6112,2482,6414,2758,7095,2995,7642,3059,7762,3260,8246,2134,921,,397.3,333.4,67720.6040720509,179464142.883073
13045910200,9102,ARC 20,,,SDE,2015/05/19 14:07:17,10.7,46942,46.4,4400,11966,4894,13169,5598,14993,6189,16421,6790,17942,7722,20313,8347,3322,,93.9,179.9,200510.053132609,1294612059.9915
13045910900,9109,ARC 20,,,SDE,2015/05/19 14:07:17,22.7,56964,51,1778,4824,2076,5575,2333,6230,2536,6731,2714,7174,2958,7749,2925,1180,,7.8,57.4,191210.915685077,1421324970.22449
13045910300,9103,ARC 20,,,SDE,2015/05/19 14:07:17,15.2,42287,57.1,2475,6566,2581,6766,2734,7126,2872,7431,3059,7875,3387,8639,2073,912,,17.1,36.3,188483.019679187,1592537985.16644
13045911100,9111,ARC 20,,,SDE,2015/05/19 14:07:17,29.8,42438,20.2,3223,7556,3329,7767,3485,8114,3594,8330,3779,8741,4201,9614,2058,978,,24.2,101.9,127359.16922123,561777380.447206
13045911000,9110,ARC 20,,,SDE,2015/05/19 14:07:17,29.3,45026,19.8,2519,6466,2721,6930,3075,7809,3256,8250,3564,8958,4038,9979,3513,1519,,27.2,177.4,103362.274055408,552049987.572216
13045910701,9107.01,ARC 20,,,SDE,2015/05/19 14:07:17,20.6,44002,25.4,3066,8971,3165,9295,3370,9907,3602,10624,3887,11404,4238,12319,3348,1172,,116.1,131.8,150756.970468562,707225757.490576
13045910703,9107.03,ARC 20,,,SDE,2015/05/19 14:07:17,17.7,43517,13.8,3116,8308,3253,8641,3439,9118,3611,9544,3798,9948,4199,10876,2568,1083,,68.9,186.1,107808.869512959,385587810.753281
13045910600,9106,ARC 20,,,SDE,2015/05/19 14:07:17,19.1,48420,12.6,2260,5538,2353,5752,2514,6074,2585,6195,2793,6602,3019,7038,1500,759,,70.5,119,107942.661975138,350294860.374676
13045910501,9105.01,ARC 20,,,SDE,2015/05/19 14:07:17,16.5,30625,11.5,2560,9856,2722,10597,2918,11439,3047,12057,3321,12978,3684,14035,4179,1124,,153.2,363.4,101355.083791631,321595170.318669
13045910702,9107.02,ARC 20,,,SDE,2015/05/19 14:07:17,27.6,62459,23.7,2977,7619,3027,7706,3078,7805,3188,8059,3289,8285,3393,8475,856,416,,104.1,36.1,117348.28427535,660896317.315651
