TRACTCE10,GEOID10,NAME10,PLNG_REGIO,created_us,created_da,last_edite,last_edit2,Population,Percent_Po,GlobalID,Pop_Chng_p,Pop_Povert,Pop_under1,Pop_under2,Pct_Pop_u1,Pop_18_64_,Pop_18_642,Pct_Pop_18,Pop_65olde,Pop_65old2,Pct_Pop_65,Shape_Leng,Shape_Area
910103,13045910103,9101.03,ARC 20,,,SDE,2015/05/27 16:52:54,414,8,,100.3,5156,1135,66,5.8,3590,327,9.1,431,21,4.9,118277.754224171,607399676.932592
910104,13045910104,9101.04,ARC 20,,,SDE,2015/05/27 16:52:54,1201,13.4,,201.1,8932,2379,347,14.6,5572,765,13.7,981,89,9.1,124766.277906116,483848846.048713
910502,13045910502,9105.02,ARC 20,,,SDE,2015/05/27 16:52:54,1108,46,,-368.8,2410,536,270,50.4,1717,817,47.6,157,21,13.4,30985.3346540114,46851520.2721302
910800,13045910800,9108,ARC 20,,,SDE,2015/05/27 16:52:54,455,11.1,,1.1,4111,1059,147,13.9,2557,274,10.7,495,34,6.9,237362.002636664,1854391191.89244
910101,13045910101,9101.01,ARC 20,,,SDE,2015/05/27 16:52:54,1125,18.2,,397.3,6166,1762,480,27.2,3641,577,15.8,763,68,8.9,67720.6040720509,179464142.883073
910200,13045910200,9102,ARC 20,,,SDE,2015/05/27 16:52:55,1718,15,,93.9,11458,2866,529,18.5,6997,941,13.4,1595,248,15.5,200510.053132609,1294612059.9915
910900,13045910900,9109,ARC 20,,,SDE,2015/05/27 16:52:55,437,11.4,,7.8,3824,971,119,12.3,2460,310,12.6,393,8,2,191210.915685077,1421324970.22449
910300,13045910300,9103,ARC 20,,,SDE,2015/05/27 16:52:55,920,14.1,,17.1,6536,1782,261,14.6,4112,617,15,642,42,6.5,188483.019679187,1592537985.16644
911100,13045911100,9111,ARC 20,,,SDE,2015/05/27 16:52:55,1717,22.7,,24.2,7565,1620,425,26.2,4857,1089,22.4,1088,203,18.7,127359.16922123,561777380.447206
911000,13045911000,9110,ARC 20,,,SDE,2015/05/27 16:52:55,963,15.6,,27.2,6178,1597,295,18.5,4034,617,15.3,547,51,9.3,103362.274055408,552049987.572216
910701,13045910701,9107.01,ARC 20,,,SDE,2015/05/27 16:52:55,1923,22.9,,116.1,8394,2458,636,25.9,5100,1083,21.2,836,204,24.4,150756.970468562,707225757.490576
910703,13045910703,9107.03,ARC 20,,,SDE,2015/05/27 16:52:55,1353,17,,68.9,7973,2054,415,20.2,4915,864,17.6,1004,74,7.4,107808.869512959,385587810.753281
910600,13045910600,9106,ARC 20,,,SDE,2015/05/27 16:52:55,1796,29.4,,70.5,6103,1818,882,48.5,3765,855,22.7,520,59,11.3,107942.661975138,350294860.374676
910501,13045910501,9105.01,ARC 20,,,SDE,2015/05/27 16:52:55,2496,40.5,,153.2,6162,1175,481,40.9,4641,1973,42.5,346,42,12.1,101355.083791631,321595170.318669
910702,13045910702,9107.02,ARC 20,,,SDE,2015/05/27 16:52:55,730,10.1,,104.1,7202,1848,309,16.7,4421,407,9.2,933,14,1.5,117348.28427535,660896317.315651
911200,13045911200,9112,ARC 20,,,SDE,2015/05/27 16:52:55,1279,21.7,,2.8,5892,1583,559,35.3,3371,630,18.7,938,90,9.6,202142.90764254,1823469968.92345
910400,13045910400,9104,ARC 20,,,SDE,2015/05/27 16:52:55,639,19.3,,-8.5,3304,812,224,27.6,1902,341,17.9,590,74,12.5,196671.673544441,1202468139.31595
140207,13113140207,1402.07,ARC 10,,,SDE,2015/05/27 16:52:55,87,1.6,,49,5595,1373,34,2.5,3428,38,1.1,794,15,1.9,41494.197815993,87756398.850407
140208,13113140208,1402.08,ARC 10,,,SDE,2015/05/27 16:52:55,964,12.9,,435.5,7499,2031,431,21.2,4363,486,11.1,1105,47,4.3,76889.4961770768,187201161.324454
140303,13113140303,1403.03,ARC 10,,,SDE,2015/05/27 16:52:55,316,7,,-88.6,4505,1142,128,11.2,2804,161,5.7,559,27,4.8,74036.546092173,158158984.969019
