Year,Origin County,Dest County,Dest County Na,Returns, Exemptions ,AGI
2000,13,135,Gwinnett County,380,796,14796
2000,13,297,Walton County,79,164,2965
2000,13,139,Hall County,64,142,2060
2000,13,89,De Kalb County,40,72,1118
2000,13,121,Fulton County,36,52,1031
2000,13,117,Forsyth County,22,52F7,892
2000,13,67,Cobb County,18,29,478
2000,13,247,Rockdale County,13,24,368
2000,15,67,Cobb County,424,796,13797
2000,15,57,Cherokee County,182,373,7244
2000,15,223,Paulding County,92,226,3451
2000,15,121,Fulton County,71,114,2129
2000,15,89,De Kalb County,36,57,977
2000,15,135,Gwinnett County,29,54,1075
2000,15,97,Douglas County,24,51,592
2000,15,45,Carroll County,16,44,294
2000,15,63,Clayton County,13,27,360
2000,15,117,Forsyth County,12,24,733
2000,15,139,Hall County,11,15,270
2000,45,97,Douglas County,237,462,6255
2000,45,67,Cobb County,140,231,4518
2000,45,223,Paulding County,97,205,2892
2000,45,121,Fulton County,78,109,2156
2000,45,77,Coweta County,54,116,1716
2000,45,89,De Kalb County,54,93,1261
2000,45,135,Gwinnett County,34,69,1138
2000,45,63,Clayton County,25,52,557
2000,45,57,Cherokee County,21,38,829
2000,45,15,Bartow County,17,28,457
2000,45,113,Fayette County,16,30,573
2000,45,151,Henry County,15,36,338
2000,45,139,Hall County,10,16,342
2000,57,67,Cobb County,1203,2400,58682
2000,57,121,Fulton County,419,697,25269
2000,57,15,Bartow County,239,597,8709
2000,57,117,Forsyth County,171,359,11544
2000,57,135,Gwinnett County,162,340,8951
2000,57,89,De Kalb County,137,190,5659
2000,57,223,Paulding County,118,260,4678
2000,57,97,Douglas County,35,68,1139
2000,57,139,Hall County,28,51,1018
2000,57,63,Clayton County,24,34,628
2000,57,45,Carroll County,18,34,853
2000,57,113,Fayette County,12,30,777
2000,57,77,Coweta County,11,26,488
2000,57,151,Henry County,11,23,584
2000,63,151,Henry County,2140,4830,88191
2000,63,121,Fulton County,1835,3645,46682
2000,63,89,De Kalb County,1070,2093,26368
2000,63,113,Fayette County,609,1451,30822
2000,63,67,Cobb County,513,942,16508
2000,63,77,Coweta County,361,770,16022
2000,63,135,Gwinnett County,358,666,10673
2000,63,255,Spalding County,193,429,5635
2000,63,97,Douglas County,105,207,3461
2000,63,247,Rockdale County,80,173,2923
2000,63,217,Newton County,73,177,2544
2000,63,45,Carroll County,69,160,2414
2000,63,57,Cherokee County,51,105,2338
2000,63,223,Paulding County,44,90,1602
2000,63,139,Hall County,38,89,1259
2000,63,117,Forsyth County,27,53,1215
2000,63,15,Bartow County,22,47,738
2000,63,297,Walton County,17,34,569
2000,67,121,Fulton County,4153,6384,247651
2000,67,57,Cherokee County,2179,4306,117855
2000,67,89,De Kalb County,1970,2999,77446
2000,67,223,Paulding County,1663,3680,67937
2000,67,135,Gwinnett County,1199,2110,54475
2000,67,97,Douglas County,950,1957,36068
2000,67,15,Bartow County,763,1577,29363
2000,67,63,Clayton County,487,875,15377
2000,67,117,Forsyth County,318,652,24404
2000,67,45,Carroll County,298,632,11499
2000,67,151,Henry County,183,346,9768
2000,67,113,Fayette County,134,266,8219
2000,67,77,Coweta County,101,197,7371
2000,67,139,Hall County,92,174,5522
2000,67,247,Rockdale County,60,117,2881
2000,67,217,Newton County,53,109,2208
2000,67,297,Walton County,29,51,1379
2000,67,13,Barrow County,28,49,951
2000,67,255,Spalding County,26,59,829
2000,77,113,Fayette County,281,656,15493
2000,77,121,Fulton County,209,367,7288
2000,77,63,Clayton County,132,252,3677
2000,77,45,Carroll County,92,207,2759
2000,77,67,Cobb County,71,111,3168
2000,77,151,Henry County,70,134,2748
2000,77,89,De Kalb County,69,100,1715
2000,77,135,Gwinnett County,54,94,2148
2000,77,255,Spalding County,32,72,962
2000,77,97,Douglas County,21,41,838
2000,77,57,Cherokee County,19,42,933
2000,89,121,Fulton County,7924,13087,347614
