Geoid,FIPS,h1940,h1950,h1960,h1970,h1980,h1990,h2000,h2010
13001950200,13001,1183,1004,791,935,1475,1723,1880,2041
13001950100,13001,707,768,762,677,930,1041,1309,1460
13001950300,13001,317,976,1239,1449,1899,2088,2402,2490
13001950400,13001,752,618,466,461,666,700,756,792
13001950500,13001,201,268,369,420,840,1076,1508,1730
13003960100,13003,351,483,397,401,584,674,884,1002
13003960200,13003,1063,1219,1074,1196,1419,1410,1807,2015
13003960300,13003,245,237,227,193,314,365,480,503
13005970100,13005,800,688,654,574,636,840,1067,1210
13005970201,13005,633,1174,1178,1247,1660,1700,1824,1935
13005970202,13005,396,434,619,966,1119,1318,1573,1656
13007960100,13007,1549,1362,1206,816,864,969,1095,1037
13007960200,13007,248,162,192,357,410,531,645,616
13009970400,13009,1157,1021,1542,1822,2321,2119,2140,2353
13009970701,13009,334,809,782,816,1076,979,1044,1107
13009970100,13009,401,354,269,347,761,1127,1922,2388
13009970200,13009,378,328,858,846,1419,2257,2808,3500
13009970300,13009,0,0,335,484,925,1788,2359,2828
13009970500,13009,1117,1350,1272,1024,1303,1314,1575,2199
13009970600,13009,311,365,566,976,1557,1693,1990,2012
13009970702,13009,200,256,366,839,1044,984,1067,1089
13009970800,13009,351,424,306,815,1829,1940,2268,2684
13011970400,13011,154,192,201,257,361,568,1075,1521
13011970100,13011,281,300,452,545,950,1251,1721,2141
13011970200,13011,1057,874,660,801,1045,1295,1603,2132
13011970300,13011,670,677,570,716,926,1080,1408,1802
13013180104,13013,112,116,80,87,196,519,727,779
13013180206,13013,454,489,602,580,629,906,966,1047
13013180103,13013,104,175,204,287,358,475,847,1485
13013180105,13013,14,11,54,45,118,279,691,953
13013180106,13013,155,122,115,143,252,676,929,1057
13013180107,13013,58,204,351,422,585,1003,1421,1694
13013180108,13013,4,57,41,150,197,623,1068,1163
13013180203,13013,133,161,132,278,521,779,1113,1355
13013180204,13013,436,487,446,515,459,568,715,935
13013180205,13013,115,232,611,833,921,1194,1449,1727
13013180301,13013,176,138,102,143,282,374,539,861
13013180302,13013,90,170,406,480,555,886,1158,2285
13013180303,13013,72,57,56,212,381,595,932,1452
13013180401,13013,205,161,106,89,252,346,621,1904
13013180402,13013,486,574,547,686,959,1203,1496,2291
13013180501,13013,371,291,225,188,351,443,824,1785
13013180502,13013,313,351,316,388,483,625,883,1620
13013180503,13013,58,45,95,155,277,320,924,2004
13015960500,13015,176,938,944,1158,1630,2109,2304,3006
13015960902,13015,191,319,286,332,522,1281,1922,2262
13015960101,13015,230,249,302,253,289,468,507,724
13015960102,13015,510,479,589,775,1236,1670,2650,3694
13015960200,13015,906,1115,1219,1561,2021,2554,3179,4496
13015960300,13015,466,462,457,479,775,1233,1629,2626
